Localisation;l_ar;Code_Lat;Code_Long;Date_instal;2022;2023;2024
102 boulevard de Magenta;10ème Ardt;48.87613003653913;2.360728487847452;29/11/2018;5;1186023;1201662
89 boulevard de Magenta;10ème Ardt;48.87613003653913;2.360728487847452;28/11/2018;5783;1004039;1104039
72 boulevard Richard Lenoir;11ème Ardt;48.859059221342484;2.380058308197898;05/12/2018;1537;829419;739014
77 boulevard Richard Lenoir;11ème Ardt;48.859059221342484;2.380058308197898;05/12/2018;289;685578;637394
Notre Dame des Champs;6ème Ardt;48.84913035858523;2.3328979990533147;11/08/2023;0;7854;5742
67 boulevard Voltaire;11ème Ardt;48.859059221342484;2.380058308197898;27/06/2018;258;818307;784548
72 boulevard Voltaire;11ème Ardt;48.859059221342484;2.380058308197898;27/06/2018;1573;827125;801644
Face au 70 quai de Bercy;12ème Ardt;48.834974154202456;2.4213235156144646;30/11/2018;345;767603;701572
69 Grandes-Carrières;18ème Ardt;48.89256926800578;2.3481605195620396;21/01/2023;0;582;3984
42 boulevard Soult;12ème Ardt;48.834974154202456;2.4213235156144646;26/01/2023;0;750321;860669
Face au 8 avenue de la porte de Charenton;12ème Ardt;48.834974154202456;2.4213235156144646;01/11/2019;107;391473;329998
Quartier de l’Opera;9ème Ardt;48.87716351732887;2.3374575434825444;27/04/2023;0;8954;25771
Pont Charles De Gaulle;12ème Ardt;48.834974154202456;2.4213235156144646;12/12/2019;3791;830395;842464
135 avenue Daumesnil;12ème Ardt;48.834974154202456;2.4213235156144646;19/01/2013;0;379868;328268
27 boulevard Diderot;12ème Ardt;48.834974154202456;2.4213235156144646;17/01/2013;68;338301;303327
28 boulevard Diderot;12ème Ardt;48.834974154202456;2.4213235156144646;18/01/2013;535;462910;584165
98 boulevard Poniatowski;12ème Ardt;48.834974154202456;2.4213235156144646;01/02/2023;0;776660;833809
180 avenue d'Italie;13ème Ardt;48.82838796597577;2.3622703608413;11/12/2019;158;271927;253606
56 boulevard Kellermann;13ème Ardt;48.82838796597577;2.3622703608413;25/01/2023;0;346082;336247
77 boulevard Masséna;13ème Ardt;48.82838796597577;2.3622703608413;26/01/2023;0;699747;866109
Pont de Bercy;13ème Ardt;48.82838796597577;2.3622703608413;11/12/2019;3521;868570;832659
Pont National;13ème Ardt;48.82838796597577;2.3622703608413;05/12/2018;3648;885488;1098692
Totem 85 quai d'Austerlitz;13ème Ardt;48.82838796597577;2.3622703608413;18/02/2020;5645;1545287;1693357
Totem Cours la Reine;13ème Ardt;48.82838796597577;2.3622703608413;11/02/2020;3625;962844;886649
10 boulevard Auguste Blanqui;13ème Ardt;48.82838796597577;2.3622703608413;06/12/2018;25;238602;227128
147 avenue d'Italie;13ème Ardt;48.82838796597577;2.3622703608413;10/12/2019;125;262324;264006
21 boulevard Auguste Blanqui;13ème Ardt;48.82838796597577;2.3622703608413;05/12/2018;75;154371;181121
39 quai François Mauriac;13ème Ardt;48.82838796597577;2.3622703608413;12/07/2017;1579;1068300;1046681
163 boulevard Brune;14ème Ardt;48.82924450048987;2.3265420441989466;25/01/2023;0;384011;387591
152 boulevard du Montparnasse;14ème Ardt;48.82924450048987;2.3265420441989466;07/12/2018;0;762858;748513
24 boulevard Jourdan;14ème Ardt;48.82924450048987;2.3265420441989466;24/01/2023;98;366275;329673
106 avenue Denfert Rochereau;14ème Ardt;48.82924450048987;2.3265420441989466;22/02/2012;0;495934;22833
6 rue Julia Bartet;14ème Ardt;48.82924450048987;2.3265420441989466;28/11/2018;368;934675;845120
72 boulevard Brune;14ème Ardt;48.82924450048987;2.3265420441989466;24/01/2023;0;293768;290764
9 boulevard Jourdan;14ème Ardt;48.82924450048987;2.3265420441989466;24/01/2023;0;356683;346886
97 avenue Denfert Rochereau;14ème Ardt;48.82924450048987;2.3265420441989466;22/02/2012;257;321640;303963
Face au 49 boulevard du Général Martial Valin;15ème Ardt;48.840085375938216;2.2928258224249976;02/02/2023;0;293427;314971
129 rue Lecourbe;15ème Ardt;48.840085375938216;2.2928258224249976;30/10/2019;178;259663;257187
132 rue Lecourbe;15ème Ardt;48.840085375938216;2.2928258224249976;31/10/2019;11;241864;301668
36 quai de Grenelle;15ème Ardt;48.840085375938216;2.2928258224249976;14/11/2019;125783;1386807;1200250
51 boulevard du Général Martial Valin;15ème Ardt;48.840085375938216;2.2928258224249976;02/02/2023;0;320992;353144
Face au 40 quai D'Issy;15ème Ardt;48.840085375938216;2.2928258224249976;05/11/2019;265;387150;337211
Pont du Garigliano;16ème Ardt;48.860392105415826;2.261970788364543;28/11/2018;925;975710;907520
7 avenue de la Grande Armée;16ème Ardt;48.860392105415826;2.261970788364543;27/07/2018;79;196507;200311
16 avenue de la Porte des Ternes;17ème Ardt;48.887326522025816;2.3067769905744084;29/11/2018;27;147707;130424
Face au 16 avenue de la  Porte des Ternes;17ème Ardt;48.887326522025816;2.3067769905744084;28/11/2018;1321;195230;177382
10 avenue de la Grande Armée;17ème Ardt;48.887326522025816;2.3067769905744084;27/07/2018;0;168455;174273
87 avenue de Flandre;19ème Ardt;48.887075996572584;2.384820960152517;05/11/2019;364;498888;513554
Face au 48 quai de la marne;19ème Ardt;48.887075996572584;2.384820960152517;29/11/2018;75831;1646849;1537022
72 avenue de Flandre;19ème Ardt;48.887075996572584;2.384820960152517;13/11/2019;179;447687;445080
Face 104 rue d'Aubervilliers;19ème Ardt;48.887075996572584;2.384820960152517;29/11/2018;5469;903266;861721
Face au 25 quai de l'Oise;19ème Ardt;48.887075996572584;2.384820960152517;28/11/2018;4381;944001;948435
Quai des Tuileries;1er Ardt;48.862562701836005;2.3364433620533878;18/05/2021;78245;1110176;859461
Voie Georges Pompidou;1er Ardt;48.862562701836005;2.3364433620533878;15/12/2017;4587;889733;1028856
27 boulevard Davout;20ème Ardt;48.86346057889562;2.4011881292846864;25/01/2023;0;128758;128525
35 boulevard de Ménilmontant;20ème Ardt;48.86346057889562;2.4011881292846864;18/11/2020;3879;941792;976681
81 boulevard Mortier;20ème Ardt;48.86346057889562;2.4011881292846864;31/01/2023;0;409333;383856
Face au 4 avenue de la porte de Bagnolet;20ème Ardt;48.86346057889562;2.4011881292846864;06/11/2019;534;700621;592544
Totem 73 boulevard de Sébastopol;2ème Ardt;48.86827922252251;2.3428025468913636;11/02/2020;98254;4335415;4467583
38 rue Turbigo;3ème Ardt;48.862872380016924;2.360000985897692;10/12/2019;525781;2065564;2083759
18 quai de l'Hôtel de Ville;4ème Ardt;48.85434142627288;2.357629620324997;12/07/2017;23;535932;592444
Totem 64 Rue de Rivoli;4ème Ardt;48.85434142627288;2.357629620324997;04/09/2019;96587;3082615;3231174
27 quai de la Tournelle;5ème Ardt;48.844443150532705;2.3507146095752587;14/11/2019;35754;1822896;2115600
243 boulevard Saint Germain;7ème Ardt;48.85617443127909;2.3121876953655494;13/12/2018;33;407921;350241
Pont des Invalides;7ème Ardt;48.85617443127909;2.3121876953655494;06/11/2019;283;743470;751526
Quai d'Orsay;7ème Ardt;48.85617443127909;2.3121876953655494;07/11/2019;89562;2450309;2279486
Pont de la Concorde;8ème Ardt;48.872720837434464;2.312554022402065;08/11/2019;67821;1875584;1650421
33 avenue des Champs Elysées;8ème Ardt;48.872720837434464;2.312554022402065;30/10/2019;2478;450041;399392
44 avenue des Champs Elysées;8ème Ardt;48.872720837434464;2.312554022402065;30/10/2019;1879;356181;267481
